factor,value,experiment_count,mean_bleu4,mean_meteor,mean_runtime_seconds,best_run_id
decoder_type,lstm,6,0.061629435957750535,0.36940872127369645,599.0085411166674,lstm_preinject_layers2_hidden128
decoder_type,rnn,6,0.04927497935319881,0.3452478652693498,579.5381735666657,rnn_preinject_layers2_hidden128
layer_count,1,4,0.053684977501984275,0.3578170501752343,566.3623911999994,rnn_preinject_layers1_hidden128
layer_count,2,4,0.05791502699206234,0.3565410601162459,583.0221167,lstm_preinject_layers2_hidden128
layer_count,3,4,0.05475661847237741,0.3576267695230891,618.4355641250004,lstm_preinject_layers3_hidden512
hidden_size,128,6,0.05827851335550946,0.36203276681100593,566.2216624833345,lstm_preinject_layers2_hidden128
hidden_size,512,6,0.05262590195543989,0.3526238197320403,612.3250521999986,lstm_preinject_layers2_hidden512
