max_caption_length,run_id,decoder_type,bleu4,meteor,runtime_seconds
20,lstm_preinject_layers2_hidden128,lstm,0.06793521374644908,0.36500378498406527,466.4855969000055
30,lstm_preinject_layers2_hidden128,lstm,0.06793521374644908,0.36500378498406527,467.72320789999503
40,lstm_preinject_layers2_hidden128,lstm,0.06793521374644908,0.36500378498406527,478.87266579999414
20,rnn_preinject_layers2_hidden128,rnn,0.06047843944145086,0.3591951405493423,594.1460691999964
30,rnn_preinject_layers2_hidden128,rnn,0.06045092270850104,0.3591755282997835,589.4092172999954
40,rnn_preinject_layers2_hidden128,rnn,0.06045092270850104,0.3591755282997835,617.4533133000004
