run_id,decoder_type,layer_count,hidden_size,epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
lstm_preinject_layers2_hidden128,lstm,2,128,1,1.9575079679489136,0.052464645355939865,1.8633240461349487,0.07462424039840698
lstm_preinject_layers2_hidden128,lstm,2,128,2,1.6004351377487183,0.0904434323310852,1.495722770690918,0.10371515154838562
lstm_preinject_layers2_hidden128,lstm,2,128,3,1.3842763900756836,0.1104656532406807,1.3865697383880615,0.11403030157089233
lstm_preinject_layers2_hidden128,lstm,2,128,4,1.2873821258544922,0.1195666640996933,1.3214513063430786,0.12112727016210556
lstm_preinject_layers2_hidden128,lstm,2,128,5,1.2164759635925293,0.1259060651063919,1.283542275428772,0.12454545497894287
lstm_preinject_layers2_hidden128,lstm,2,128,6,1.1680985689163208,0.13017979264259338,1.2582135200500488,0.1273999959230423
lstm_preinject_layers2_hidden128,lstm,2,128,7,1.1267086267471313,0.13353434205055237,1.2385060787200928,0.1289878785610199
lstm_preinject_layers2_hidden128,lstm,2,128,8,1.0896762609481812,0.13674847781658173,1.2237929105758667,0.13101212680339813
lstm_preinject_layers2_hidden128,lstm,2,128,9,1.0566933155059814,0.14031514525413513,1.2100610733032227,0.13260605931282043
lstm_preinject_layers2_hidden128,lstm,2,128,10,1.024898648262024,0.1437302976846695,1.2002273797988892,0.13366059958934784
lstm_preinject_layers2_hidden128,lstm,2,128,11,0.9955426454544067,0.1469363570213318,1.1945539712905884,0.1348000019788742
lstm_preinject_layers2_hidden128,lstm,2,128,12,0.9681134819984436,0.1499929279088974,1.1882914304733276,0.13610908389091492
lstm_preinject_layers2_hidden128,lstm,2,128,13,0.9427191615104675,0.1530797928571701,1.1854779720306396,0.13595756888389587
lstm_preinject_layers2_hidden128,lstm,2,128,14,0.9191776514053345,0.155930295586586,1.1819988489151,0.13636969029903412
lstm_preinject_layers2_hidden128,lstm,2,128,15,0.8968579173088074,0.15882524847984314,1.1821272373199463,0.1371878832578659
lstm_preinject_layers2_hidden128,lstm,2,128,16,0.8764111399650574,0.1618494987487793,1.1862201690673828,0.13606666028499603
lstm_preinject_layers2_hidden128,lstm,2,128,17,0.8583477139472961,0.16435858607292175,1.1907823085784912,0.1353151500225067
lstm_preinject_layers2_hidden128,lstm,2,128,18,0.8407069444656372,0.16712121665477753,1.1893689632415771,0.13792727887630463
lstm_preinject_layers2_hidden128,lstm,2,128,19,0.8246030211448669,0.16928686201572418,1.1948295831680298,0.13659393787384033
lstm_preinject_layers2_hidden128,lstm,2,128,20,0.8092015385627747,0.17185555398464203,1.2003740072250366,0.1366666704416275
lstm_preinject_layers2_hidden512,lstm,2,512,1,1.7244646549224854,0.07921110838651657,1.472595453262329,0.1048363670706749
lstm_preinject_layers2_hidden512,lstm,2,512,2,1.3391708135604858,0.11349596083164215,1.3211427927017212,0.12054545432329178
lstm_preinject_layers2_hidden512,lstm,2,512,3,1.1902097463607788,0.12669898569583893,1.2358322143554688,0.1287333369255066
lstm_preinject_layers2_hidden512,lstm,2,512,4,1.0894169807434082,0.13521413505077362,1.1902976036071777,0.13378788530826569
lstm_preinject_layers2_hidden512,lstm,2,512,5,1.0145174264907837,0.14199191331863403,1.1649690866470337,0.13596363365650177
lstm_preinject_layers2_hidden512,lstm,2,512,6,0.9547447562217712,0.14755454659461975,1.1567968130111694,0.13793332874774933
lstm_preinject_layers2_hidden512,lstm,2,512,7,0.9038044214248657,0.1529080867767334,1.1473615169525146,0.13990908861160278
lstm_preinject_layers2_hidden512,lstm,2,512,8,0.8574910163879395,0.158608078956604,1.1480519771575928,0.1395636349916458
lstm_preinject_layers2_hidden512,lstm,2,512,9,0.8163815140724182,0.1640777736902237,1.1495692729949951,0.1403757631778717
lstm_preinject_layers2_hidden512,lstm,2,512,10,0.7790767550468445,0.16986767947673798,1.1561830043792725,0.14061212539672852
lstm_preinject_layers2_hidden512,lstm,2,512,11,0.7451983094215393,0.17495252192020416,1.162704586982727,0.14070303738117218
lstm_preinject_layers2_hidden512,lstm,2,512,12,0.7137407064437866,0.18045958876609802,1.1729480028152466,0.14055152237415314
