parameter_sharing,run_id,base_run_id,status,model_dir,params,loss,sparse_categorical_accuracy,macro_f1
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,trained,models/cnn/shared_l2_f32-64_k3x3-3x3_max,7393094,1.5895211696624756,0.7854597568511963,0.7861723273206657
nonshared,nonshared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,trained,models/cnn/nonshared_l2_f32-64_k3x3-3x3_max,90422214,0.8870340585708618,0.6749821901321411,0.674526520365041
